iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha,country
AUT,2001,6926.269007849011,63.69590211164714,Austria
AUT,2002,10902.14987705539,216.63392098674484,Austria
AUT,2003,14475.694826398714,78.01259422003909,Austria
AUT,2004,14599.40476731756,103.2118593321376,Austria
AUT,2005,21657.1456085136,87.00716461789064,Austria
AUT,2006,12583.533393477568,51.59657935961371,Austria
AUT,2007,31669.689927651,194.91485003519963,Austria
AUT,2008,26895.743190156307,406.51302194767777,Austria
AUT,2009,15887.114562212022,110.09326037437717,Austria
AUT,2010,16712.863781338943,148.94726344243492,Austria
AUT,2011,18089.761358074426,111.58349211932723,Austria
AUT,2012,11158.42923372977,128.21070328443577,Austria
AUT,2013,7645.341812653413,25.848710873018664,Austria
AUT,2014,9869.568611267567,45.026431375253885,Austria
AUT,2015,7937.704883540018,3.9365127445247396,Austria
AUT,2016,17210.293187755593,45.794713600377605,Austria
AUT,2017,18405.689726019777,53.844704165805126,Austria
AUT,2018,26310.09294368676,15.85744518799262,Austria
AUT,2019,33642.43079561187,33.281869697400175,Austria
AUT,2020,25936.51506640435,123.3729259521875,Austria
AUT,2021,16651.641552676938,85.5621489046181,Austria
AUT,2022,19865.062230405576,24.5393542558941,Austria
AUT,2023,26503.975299463506,49.252837401100265,Austria
CZE,2001,3460.142585505529,75.60860819800781,Czech Republic
CZE,2002,6766.437908204674,52.232414667241756,Czech Republic
CZE,2003,3925.2779713080877,11.256721266838108,Czech Republic
CZE,2004,13453.690856585283,50.39527407187717,Czech Republic
CZE,2005,25560.176409993077,31.667910338999572,Czech Republic
CZE,2006,8606.687254423641,14.698353322209202,Czech Republic
CZE,2007,21325.094843924846,41.36777524418837,Czech Republic
CZE,2008,16872.51001070611,161.0694664464106,Czech Republic
CZE,2009,13514.294479605953,14.587846068378905,Czech Republic
CZE,2010,15441.635247406057,34.70304407819228,Czech Republic
CZE,2011,21853.28487165002,55.09777777230037,Czech Republic
CZE,2012,14006.252809278652,204.0230860042187,Czech Republic
CZE,2013,7658.876842158664,5.103212120112848,Czech Republic
CZE,2014,13939.610159580938,48.441380132480475,Czech Republic
CZE,2015,8046.992556702243,1.2421165833789063,Czech Republic
CZE,2016,22808.49165202696,50.753291963372405,Czech Republic
CZE,2017,26511.922830659445,22.552253162467444,Czech Republic
CZE,2018,39206.389179753955,5.747227687311199,Czech Republic
CZE,2019,73295.19926394413,48.63542074810329,Czech Republic
CZE,2020,100258.23550055572,56.809025967196185,Czech Republic
CZE,2021,56292.535644440264,75.98984939782552,Czech Republic
CZE,2022,34756.36289018975,22.675978409500875,Czech Republic
CZE,2023,24393.07965700253,151.32132405605404,Czech Republic
DEU,2001,15286.38056788826,165.55735452305123,Germany
DEU,2002,15303.262374892307,261.2812384703385,Germany
DEU,2003,6448.617531416983,39.523845167341584,Germany
DEU,2004,44939.98180329388,390.8111164701195,Germany
DEU,2005,39738.501542975966,162.39766136417532,Germany
DEU,2006,42652.88486882856,126.4733808059028,Germany
DEU,2007,93223.62502264204,995.9606859038304,Germany
DEU,2008,61696.17108578365,351.79645371673394,Germany
DEU,2009,28761.543051774966,170.1570566980317,Germany
DEU,2010,75677.9961079149,363.2120143008488,Germany
DEU,2011,34271.55204556633,268.2946960006012,Germany
DEU,2012,26007.35395144319,570.1631115022634,Germany
DEU,2013,15499.368519916106,141.780165173789,Germany
DEU,2014,21169.343208059134,100.20939279987196,Germany
DEU,2015,12929.492897561815,6.992461848530818,Germany
DEU,2016,26877.059203683755,169.1534880236372,Germany
DEU,2017,33000.27868155026,255.10787068047546,Germany
DEU,2018,52237.2254555559,92.19142875179035,Germany
DEU,2019,108232.51080714709,848.8707151844968,Germany
DEU,2020,186939.6371939696,462.33846626174915,Germany
DEU,2021,202277.81779273736,475.50050502315764,Germany
DEU,2022,86449.97609982069,329.39846475405255,Germany
DEU,2023,122937.34560312868,337.1905820547222,Germany
HUN,2001,7522.059331819899,96.82719036324222,Hungary
HUN,2002,7711.037369613371,116.48764414310764,Hungary
HUN,2003,5733.022732729834,54.26921733014749,Hungary
HUN,2004,12008.50913469698,422.4330793145987,Hungary
HUN,2005,10398.145461573242,243.3920206933659,Hungary
HUN,2006,7989.934710273541,82.35270009498699,Hungary
HUN,2007,9361.071277145455,146.2885261463064,Hungary
HUN,2008,8911.602985321186,118.01018917872189,Hungary
HUN,2009,10072.467244434629,76.49206003533855,Hungary
HUN,2010,11255.48785977687,178.22397884601776,Hungary
HUN,2011,8225.275769278418,38.59577586588542,Hungary
HUN,2012,11921.858273256898,148.12648249854817,Hungary
HUN,2013,8951.928668281178,35.99975763271702,Hungary
HUN,2014,15139.947880058842,52.73074230495226,Hungary
HUN,2015,10720.01287279902,36.950986451475686,Hungary
HUN,2016,14020.67500051773,95.00957350091569,Hungary
HUN,2017,14108.8169145209,25.331478513763024,Hungary
HUN,2018,13798.781036617465,13.225899519950087,Hungary
HUN,2019,14397.954788962696,6.617058915388456,Hungary
HUN,2020,12013.566203978791,8.67803078343967,Hungary
HUN,2021,13752.899198139728,17.49293437984375,Hungary
HUN,2022,14805.458161895769,26.17290887787978,Hungary
HUN,2023,19708.836596634534,38.31190202322699,Hungary
POL,2001,19066.1020751865,232.19393543737198,Poland
POL,2002,31070.13979037516,237.4053098194705,Poland
POL,2003,33292.99196950438,188.55065289678816,Poland
POL,2004,41873.83974859802,236.8998445702734,Poland
POL,2005,82378.57066586701,309.8452857928559,Poland
POL,2006,37680.337094140414,241.9810949352774,Poland
