iso,stable,loss,gain,disturb,net,change,gfw_area__ha,country
AUT,3881301.581,137385.7482,36316.69879,447061.3484,-101069.0494,-2.26320004463196,8385823.85313804,Austria
CZE,2621612.774,152439.8236,77300.14896,526622.2395,-75139.67468,-2.27649998664856,7883578.54203678,Czech Republic
DEU,11675410.95,344276.3738,342764.0011,1086578.558,-1512.372724,-0.011539299972355,35783935.1133396,Germany
HUN,1677658.31,122671.7652,207301.8336,249845.2911,84630.06845,4.12793016433716,9305287.2537369,Hungary
POL,9114498.454,485398.3536,892077.2889,975192.7957,406678.9353,3.84562993049622,31240006.0064748,Poland
SVK,2127948.326,74716.97983,35796.94761,264843.1225,-38920.03223,-1.57729995250702,4909927.0511135,Slovakia
SVN,1265908.483,14322.77802,7767.609089,78528.31584,-6555.168931,-0.482437998056412,1998091.29894533,Slovenia
CHE,1523090.726,27521.90605,15072.54164,71105.46397,-12449.36441,-0.767664015293121,4124571.17499841,Switzerland
